ModesAllowed,SubnetworkID,ModeTypeID
Auto-Bus-Bike,90,auto
Auto-Bus-Bike,110,auto
Auto-Bus-Bike,105,bike
Auto-Bus-Bike,105,bus
Auto-Bus-Bike,105,auto
Auto-Bus-Bike,100,bike
Auto-Bus-Bike,110,bus
Auto-Bus-Bike,100,auto
Auto-Bus-Bike,115,auto
Auto-Bus-Bike,115,bus
Auto-Bus-Bike,100,bus
Auto-Bus-Bike,110,bike
Auto-Bus-Bike,90,bus
Auto-Bus-Bike,95,bus
Auto-Bus-Bike,95,auto
Auto-Bus-Bike,115,bike
Auto-Bus-Bike,90,bike
Auto-Bus-Bike,95,bike
Bike,108,bike
Bike,113,bike
Bike,118,bike
Bike,93,bike
Bike,98,bike
Bike,103,bike
Bus,92,bus
Bus,117,bus
Bus,102,bus
Bus,107,bus
Bus,112,bus
Bus,97,bus
Rail,114,rail
Rail,104,rail
Rail,109,rail
Rail,99,rail
Rail,94,rail
Rail,119,rail
Walk,106,walk
Walk,101,walk
Walk,96,walk
Walk,116,walk
Walk,91,walk
Walk,111,walk
