MicrotypeID,CostPerVehicleMile,Mode,CostPerPassengerMile
A_1,0.75747724873891,freight,0.0
A_1,0.399094780803458,auto,0.0
A_1,2.00968821745848,bus,0.0
A_2,0.387362703503457,auto,0.0
A_2,0.64616352821766,freight,0.0
A_2,1.67590347809118,bus,0.0
A_3,0.758744417591645,freight,0.0
A_3,1.61041154673027,bus,0.0
A_3,0.395216264001362,auto,0.0
A_4,1.10497846351644,bus,0.0
A_4,0.373190376138525,auto,0.0
A_4,0.505368368351287,freight,0.0
A_5,0.568547520064991,freight,0.0
A_5,0.378753159093858,auto,0.0
A_5,1.36919779145574,bus,0.0
A_6,0.357936018796248,auto,0.0
A_6,0.442110841488528,freight,0.0
A_6,0.930503514132501,bus,0.0
