MicrotypeID,Population,PopulationGroupTypeID
E_4,5794824,D
B_4,22359665,D
B_1,2870863,D
D_6,3803235,B
B_4,8317872,B
B_2,19215641,D
D_6,5135778,D
B_3,12399415,D
D_4,3242840,B
E_4,4785409,B
A_1,5674252,B
B_2,13780549,B
D_2,1058129,A
H_6,3541635,B
A_5,328782,B
B_3,7297498,B
B_5,2191958,D
D_2,6205758,B
D_4,6012292,D
A_4,6515473,D
D_3,2426155,B
A_3,4215852,D
B_6,1990950,B
D_2,4429747,D
A_4,1169811,B
E_6,1627298,D
H_6,3939331,D
E_3,1441542,D
A_2,2995098,B
I_6,646405,B
D_1,309257,B
G_4,214342,B
A_2,8316129,D
D_3,2939834,D
A_1,8699957,D
A_5,554891,D
H_2,169951,D
B_1,2635760,B
A_3,1313970,B
E_6,1622558,B
B_6,3815389,D
H_3,275631,B
D_5,238148,B
E_5,74081,B
A_6,177264,B
F_3,595805,D
F_6,578109,B
F_3,489467,B
H_4,379148,B
H_4,458761,D
E_2,493716,D
H_2,322331,B
E_2,544801,B
G_2,53550,D
I_6,523116,D
D_1,92789,D
C_2,515187,B
F_4,145885,D
E_3,913750,B
G_6,389416,B
H_3,299527,D
C_4,340904,B
E_5,124029,D
G_6,377457,D
C_2,491771,D
C_3,357836,B
D_5,330434,D
C_5,984134,D
I_3,18803,D
B_5,933751,B
G_4,295713,D
C_5,939076,B
C_6,368606,B
C_4,609092,D
F_6,437841,D
G_3,75573,B
A_6,323905,D
I_4,33913,D
E_1,37224,B
F_2,34525,B
F_2,47349,D
C_6,394828,D
F_4,159745,B
I_4,17698,B
C_3,493017,D
G_5,13316,D
E_1,23074,D
G_5,13835,B
H_5,65819,B
H_5,17781,D
G_2,63740,B
A_1,1033167,C
I_3,28242,B
F_5,14822,B
I_2,34513,B
F_5,21655,D
C_1,35619,B
D_6,631451,A
B_1,263718,C
G_3,9799,D
E_6,239580,A
E_4,1018991,C
C_1,14814,D
I_2,4003,D
B_4,1262807,A
E_3,270775,C
D_2,753971,C
B_2,3542350,C
H_6,711772,A
H_4,95160,C
B_2,2484014,A
B_1,271331,A
E_4,703848,A
B_4,4825322,C
E_6,273334,C
A_1,694970,A
B_3,2343512,C
D_3,548486,C
E_3,207044,A
D_4,655901,A
G_4,50189,C
A_2,1535900,C
B_3,1352630,A
B_6,799794,C
G_6,110293,A
D_3,375012,A
A_2,324421,A
A_4,1184800,C
D_1,37146,A
F_2,13166,A
F_3,114337,A
A_3,816585,C
I_6,131487,A
C_5,230309,A
A_4,174136,A
D_6,1086008,C
D_4,1041202,C
A_3,179639,A
B_6,268598,A
E_2,80769,C
E_2,70085,A
H_6,838188,C
H_4,30223,A
B_5,494385,C
B_5,129716,A
C_5,142640,C
F_5,856,A
H_2,7985,A
F_4,62689,C
F_6,79945,A
G_4,96044,A
D_5,66715,A
C_2,92577,C
H_3,28201,A
E_5,15663,C
F_4,48881,A
C_6,43945,A
I_2,22214,A
E_5,12934,A
C_4,151594,C
A_5,76520,C
H_2,28963,C
C_4,79907,A
D_1,9962,C
H_5,20128,A
G_6,49943,C
C_2,48146,A
H_3,77118,C
I_6,73224,C
D_5,55333,C
A_5,30096,A
F_3,139827,C
G_3,1228,A
A_6,23460,A
I_3,21449,C
F_6,96900,C
C_6,62662,C
C_3,66395,C
G_2,3905,C
A_6,82996,C
G_5,5449,C
I_3,14123,A
F_2,16714,C
I_4,591,C
C_3,61253,A
E_1,691,A
G_2,4180,A
H_5,1007,C
