ModesAllowed,SubnetworkID,Mode
Auto-Bus-Bike,0,auto
Auto-Bus-Bike,5,auto
Auto-Bus-Bike,10,auto
Auto-Bus-Bike,15,auto
Auto-Bus-Bike,20,auto
Auto-Bus-Bike,25,auto
Auto-Bus-Bike,30,auto
Auto-Bus-Bike,35,auto
Auto-Bus-Bike,40,auto
Auto-Bus-Bike,45,auto
Auto-Bus-Bike,50,auto
Auto-Bus-Bike,55,auto
Auto-Bus-Bike,60,auto
Auto-Bus-Bike,65,auto
Auto-Bus-Bike,70,auto
Auto-Bus-Bike,75,auto
Auto-Bus-Bike,80,auto
Auto-Bus-Bike,85,auto
Auto-Bus-Bike,90,auto
Auto-Bus-Bike,95,auto
Auto-Bus-Bike,100,auto
Auto-Bus-Bike,105,auto
Auto-Bus-Bike,110,auto
Auto-Bus-Bike,115,auto
Auto-Bus-Bike,120,auto
Auto-Bus-Bike,125,auto
Auto-Bus-Bike,130,auto
Auto-Bus-Bike,135,auto
Auto-Bus-Bike,140,auto
Auto-Bus-Bike,145,auto
Auto-Bus-Bike,150,auto
Auto-Bus-Bike,155,auto
Auto-Bus-Bike,160,auto
Auto-Bus-Bike,165,auto
Auto-Bus-Bike,170,auto
Auto-Bus-Bike,175,auto
Auto-Bus-Bike,180,auto
Auto-Bus-Bike,185,auto
Auto-Bus-Bike,190,auto
Auto-Bus-Bike,195,auto
Auto-Bus-Bike,200,auto
Auto-Bus-Bike,205,auto
Auto-Bus-Bike,210,auto
Auto-Bus-Bike,215,auto
Auto-Bus-Bike,220,auto
Auto-Bus-Bike,225,auto
Auto-Bus-Bike,230,auto
Auto-Bus-Bike,235,auto
Auto-Bus-Bike,240,auto
Auto-Bus-Bike,245,auto
Auto-Bus-Bike,250,auto
Auto-Bus-Bike,255,auto
Auto-Bus-Bike,260,auto
Auto-Bus-Bike,265,auto
Auto-Bus-Bike,270,auto
Auto-Bus-Bike,275,auto
Auto-Bus-Bike,0,bus
Auto-Bus-Bike,5,bus
Auto-Bus-Bike,10,bus
Auto-Bus-Bike,15,bus
Auto-Bus-Bike,20,bus
Auto-Bus-Bike,25,bus
Auto-Bus-Bike,30,bus
Auto-Bus-Bike,35,bus
Auto-Bus-Bike,40,bus
Auto-Bus-Bike,45,bus
Auto-Bus-Bike,50,bus
Auto-Bus-Bike,55,bus
Auto-Bus-Bike,60,bus
Auto-Bus-Bike,65,bus
Auto-Bus-Bike,70,bus
Auto-Bus-Bike,75,bus
Auto-Bus-Bike,80,bus
Auto-Bus-Bike,85,bus
Auto-Bus-Bike,90,bus
Auto-Bus-Bike,95,bus
Auto-Bus-Bike,100,bus
Auto-Bus-Bike,105,bus
Auto-Bus-Bike,110,bus
Auto-Bus-Bike,115,bus
Auto-Bus-Bike,120,bus
Auto-Bus-Bike,125,bus
Auto-Bus-Bike,130,bus
Auto-Bus-Bike,135,bus
Auto-Bus-Bike,140,bus
Auto-Bus-Bike,145,bus
Auto-Bus-Bike,150,bus
Auto-Bus-Bike,155,bus
Auto-Bus-Bike,160,bus
Auto-Bus-Bike,165,bus
Auto-Bus-Bike,170,bus
Auto-Bus-Bike,175,bus
Auto-Bus-Bike,180,bus
Auto-Bus-Bike,185,bus
Auto-Bus-Bike,190,bus
Auto-Bus-Bike,195,bus
Auto-Bus-Bike,200,bus
Auto-Bus-Bike,205,bus
Auto-Bus-Bike,210,bus
Auto-Bus-Bike,215,bus
Auto-Bus-Bike,220,bus
Auto-Bus-Bike,225,bus
Auto-Bus-Bike,230,bus
Auto-Bus-Bike,235,bus
Auto-Bus-Bike,240,bus
Auto-Bus-Bike,245,bus
Auto-Bus-Bike,250,bus
Auto-Bus-Bike,255,bus
Auto-Bus-Bike,260,bus
Auto-Bus-Bike,265,bus
Auto-Bus-Bike,270,bus
Auto-Bus-Bike,275,bus
Auto-Bus-Bike,0,bike
Auto-Bus-Bike,5,bike
Auto-Bus-Bike,10,bike
Auto-Bus-Bike,15,bike
Auto-Bus-Bike,20,bike
Auto-Bus-Bike,25,bike
Auto-Bus-Bike,30,bike
Auto-Bus-Bike,35,bike
Auto-Bus-Bike,40,bike
Auto-Bus-Bike,45,bike
