ModesAllowed,SubnetworkID,Mode
Auto-Bike-Freight,90,auto
Auto-Bike-Freight,110,freight_combo
Auto-Bike-Freight,110,bike
Auto-Bike-Freight,110,auto
Auto-Bike-Freight,105,freight_single
Auto-Bike-Freight,105,freight_combo
Auto-Bike-Freight,105,bike
Auto-Bike-Freight,105,auto
Auto-Bike-Freight,115,auto
Auto-Bike-Freight,100,freight_single
Auto-Bike-Freight,110,freight_single
Auto-Bike-Freight,100,bike
Auto-Bike-Freight,100,auto
Auto-Bike-Freight,115,bike
Auto-Bike-Freight,100,freight_combo
Auto-Bike-Freight,115,freight_combo
Auto-Bike-Freight,95,freight_single
Auto-Bike-Freight,95,freight_combo
Auto-Bike-Freight,95,bike
Auto-Bike-Freight,95,auto
Auto-Bike-Freight,90,bike
Auto-Bike-Freight,115,freight_single
Auto-Bike-Freight,90,freight_combo
Auto-Bike-Freight,90,freight_single
Bike,93,bike
Bike,103,bike
Bike,118,bike
Bike,98,bike
Bike,113,bike
Bike,108,bike
Rail,114,rail
Rail,104,rail
Rail,109,rail
Rail,99,rail
Rail,94,rail
Rail,119,rail
Walk,106,walk
Walk,101,walk
Walk,96,walk
Walk,116,walk
Walk,91,walk
Walk,111,walk
